tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	5.46315	4.79931	6.12698	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	6.69612	5.65439	7.73785	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	34.6003	32.4534	36.7471	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	30.7704	28.6537	32.887	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	0.537948	0	1.07616	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	1.31154	0.924119	1.69895	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	28.371	26.2391	30.5029	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	499.672	490.53	508.814	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	9.65065	8.46655	10.8347	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	261.829	250.888	272.769	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	0.938845	0.711041	1.16665	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	9.50214	6.86494	12.1393	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	2.35892	1.67448	3.04336	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	15.0156	10.8482	19.183	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	52.1918	50.0247	54.359	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	29.2893	27.4307	31.1479	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	30.4317	27.5377	33.3256	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	5.81331	5.44599	6.18063	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	7.94813	6.64146	9.25479	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	19.4594	17.648	21.2707	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	721.437	696.554	746.321	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	4.71914	3.92987	5.50841	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	50.5623	47.8792	53.2454	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	1.84414	1.54399	2.14428	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	0.720425	0.320805	1.12005	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	263.473	253.113	273.833	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	13.5159	12.171	14.8607	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	36.0469	34.1597	37.9342	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	1.68731	1.30532	2.06929	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	21.7277	20.1576	23.2977	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	1.28995	0.617703	1.96219	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	6.03908	5.44619	6.63198	OK
ORF_33	-	-	ORF_33	-	-	refORF_33:0-558	-	-	15.1297	12.745	17.5145	OK
ORF_34	-	-	ORF_34	-	-	refORF_34:0-1860	-	-	11.199	10.2108	12.1872	OK
ORF_35	-	-	ORF_35	-	-	refORF_35:0-879	-	-	42.7395	39.7458	45.7332	OK
ORF_36	-	-	ORF_36	-	-	refORF_36:0-2667	-	-	6.26531	5.65758	6.87304	OK
ORF_37	-	-	ORF_37	-	-	refORF_37:0-1959	-	-	8.96895	8.10998	9.82792	OK
ORF_38	-	-	ORF_38	-	-	refORF_38:0-2619	-	-	75.6298	73.4979	77.7618	OK
