tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_20410	-	-	ORF_20410	-	-	refORF_20410:0-2928	-	-	4.01405	3.4676	4.56051	OK
ORF_20411	-	-	ORF_20411	-	-	refORF_20411:0-498	-	-	574.904	555.947	593.861	OK
ORF_20412	-	-	ORF_20412	-	-	refORF_20412:0-327	-	-	1.33793	0	2.67651	OK
ORF_20413	-	-	ORF_20413	-	-	refORF_20413:0-2766	-	-	118.67	115.625	121.716	OK
ORF_20414	-	-	ORF_20414	-	-	refORF_20414:0-2448	-	-	8.52791	7.66536	9.39046	OK
ORF_20415	-	-	ORF_20415	-	-	refORF_20415:0-465	-	-	5.21255	3.30919	7.1159	OK
ORF_20416	-	-	ORF_20416	-	-	refORF_20416:0-1464	-	-	39.4167	36.9374	41.8959	OK
ORF_20417	-	-	ORF_20417	-	-	refORF_20417:0-546	-	-	300.726	287.97	313.483	OK
ORF_20418	-	-	ORF_20418	-	-	refORF_20418:0-2712	-	-	4.64958	4.03667	5.26249	OK
ORF_20419	-	-	ORF_20419	-	-	refORF_20419:0-1275	-	-	28.5107	26.227	30.7945	OK
ORF_20420	-	-	ORF_20420	-	-	refORF_20420:0-657	-	-	22	18.9378	25.0622	OK
ORF_20421	-	-	ORF_20421	-	-	refORF_20421:0-1944	-	-	496.202	488.62	503.785	OK
ORF_20422	-	-	ORF_20422	-	-	refORF_20422:0-4464	-	-	3.34827	2.95164	3.7449	OK
ORF_20423	-	-	ORF_20423	-	-	refORF_20423:0-1470	-	-	2.41612	1.79358	3.03867	OK
ORF_20424	-	-	ORF_20424	-	-	refORF_20424:0-2160	-	-	4.2722	3.61535	4.92904	OK
ORF_20425	-	-	ORF_20425	-	-	refORF_20425:0-2994	-	-	2.17967	1.78773	2.57161	OK
ORF_20426	-	-	ORF_20426	-	-	refORF_20426:0-960	-	-	12.6246	10.8127	14.4365	OK
ORF_20427	-	-	ORF_20427	-	-	refORF_20427:0-1314	-	-	36.1248	33.5912	38.6583	OK
ORF_20428	-	-	ORF_20428	-	-	refORF_20428:0-1278	-	-	3.01901	2.26691	3.77112	OK
ORF_20429	-	-	ORF_20429	-	-	refORF_20429:0-447	-	-	17.804	14.1698	21.4382	OK
ORF_20430	-	-	ORF_20430	-	-	refORF_20430:0-1563	-	-	40.2787	37.8665	42.6909	OK
ORF_20431	-	-	ORF_20431	-	-	refORF_20431:0-1332	-	-	22.5472	20.5648	24.5295	OK
ORF_20432	-	-	ORF_20432	-	-	refORF_20432:0-2334	-	-	11.5973	10.5583	12.6364	OK
ORF_20433	-	-	ORF_20433	-	-	refORF_20433:0-903	-	-	1.77956	1.07892	2.4802	OK
ORF_20434	-	-	ORF_20434	-	-	refORF_20434:0-1701	-	-	58.8379	56.0711	61.6046	OK
ORF_20435	-	-	ORF_20435	-	-	refORF_20435:0-423	-	-	277.494	262.337	292.651	OK
ORF_20436	-	-	ORF_20436	-	-	refORF_20436:0-915	-	-	7.74255	6.29855	9.18654	OK
ORF_20437	-	-	ORF_20437	-	-	refORF_20437:0-1110	-	-	0.266017	0.0280842	0.50395	OK
