tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	9.76849	8.83444	10.7025	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	5.35339	4.36775	6.33903	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	50.1859	47.4525	52.9193	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	57.0416	54.0048	60.0785	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	0.769164	0.0812028	1.45712	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	3.58393	2.90663	4.26123	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	27.5318	25.2917	29.7718	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	623.485	612.68	634.29	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	17.1677	15.5024	18.8329	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	728.876	709.273	748.479	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	2.44703	2.0637	2.83037	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	60.0941	52.9291	67.259	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	2.98936	2.16631	3.81242	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	54.3363	45.745	62.9276	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	80.8348	77.9791	83.6905	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	30.8859	28.8616	32.9101	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	75.0692	70.2225	79.9159	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	10.3945	9.87665	10.9123	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	16.9522	14.9068	18.9976	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	55.2409	52.0161	58.4656	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	765.571	737.959	793.182	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	11.6021	10.2854	12.9188	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	138.015	133.322	142.708	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	1.55806	1.26621	1.84992	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	0.874927	0.407259	1.34259	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	371.869	358.744	384.994	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	20.6693	18.8841	22.4544	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	44.8873	42.6505	47.124	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	1.84394	1.42102	2.26686	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	22.9293	21.2201	24.6385	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	2.53529	1.53711	3.53347	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	11.5345	10.6605	12.4086	OK
ORF_33	-	-	ORF_33	-	-	refORF_33:0-558	-	-	22.0887	18.9951	25.1823	OK
ORF_34	-	-	ORF_34	-	-	refORF_34:0-1860	-	-	19.06	17.6965	20.4235	OK
ORF_35	-	-	ORF_35	-	-	refORF_35:0-879	-	-	125.77	120.37	131.17	OK
ORF_36	-	-	ORF_36	-	-	refORF_36:0-2667	-	-	10.2355	9.40934	11.0616	OK
ORF_37	-	-	ORF_37	-	-	refORF_37:0-1959	-	-	20.3545	18.976	21.7329	OK
ORF_38	-	-	ORF_38	-	-	refORF_38:0-2619	-	-	108.484	105.765	111.204	OK
ORF_39	-	-	ORF_39	-	-	refORF_39:0-858	-	-	30.9475	28.2137	33.6813	OK
ORF_40	-	-	ORF_40	-	-	refORF_40:0-1107	-	-	5.95122	4.93059	6.97184	OK
ORF_41	-	-	ORF_41	-	-	refORF_41:0-498	-	-	10.002	7.73042	12.2736	OK
ORF_42	-	-	ORF_42	-	-	refORF_42:0-720	-	-	9.81325	8.09791	11.5286	OK
ORF_43	-	-	ORF_43	-	-	refORF_43:0-1329	-	-	198.771	193.447	204.095	OK
ORF_44	-	-	ORF_44	-	-	refORF_44:0-2283	-	-	6.01195	5.32733	6.69657	OK
ORF_45	-	-	ORF_45	-	-	refORF_45:0-1086	-	-	5.59615	4.59252	6.59978	OK
ORF_46	-	-	ORF_46	-	-	refORF_46:0-438	-	-	36.8752	32.0145	41.7359	OK
ORF_47	-	-	ORF_47	-	-	refORF_47:0-1065	-	-	11.3651	9.8971	12.8332	OK
ORF_48	-	-	ORF_48	-	-	refORF_48:0-2748	-	-	8.83627	8.07793	9.5946	OK
ORF_49	-	-	ORF_49	-	-	refORF_49:0-408	-	-	112.241	103.292	121.19	OK
ORF_50	-	-	ORF_50	-	-	refORF_50:0-6915	-	-	7.74746	7.31353	8.18138	OK
ORF_51	-	-	ORF_51	-	-	refORF_51:0-2136	-	-	37.4892	35.7239	39.2545	OK
ORF_52	-	-	ORF_52	-	-	refORF_52:0-366	-	-	24.6268	20.0339	29.2197	OK
ORF_53	-	-	ORF_53	-	-	refORF_53:0-1239	-	-	435.16	426.852	443.468	OK
ORF_54	-	-	ORF_54	-	-	refORF_54:0-2415	-	-	0.327441	0.172982	0.4819	OK
ORF_55	-	-	ORF_55	-	-	refORF_55:0-960	-	-	3.222	2.38971	4.05428	OK
ORF_56	-	-	ORF_56	-	-	refORF_56:0-627	-	-	187.699	179.462	195.936	OK
ORF_57	-	-	ORF_57	-	-	refORF_57:0-648	-	-	115.618	109.251	121.985	OK
ORF_58	-	-	ORF_58	-	-	refORF_58:0-954	-	-	1.46632	0.912104	2.02054	OK
ORF_59	-	-	ORF_59	-	-	refORF_59:0-1089	-	-	1.78488	1.21713	2.35263	OK
ORF_60	-	-	ORF_60	-	-	refORF_60:0-1512	-	-	30.0631	28.1311	31.9952	OK
ORF_61	-	-	ORF_61	-	-	refORF_61:0-1314	-	-	5.54848	4.65715	6.43981	OK
ORF_62	-	-	ORF_62	-	-	refORF_62:0-3375	-	-	5.48727	4.95689	6.01765	OK
ORF_63	-	-	ORF_63	-	-	refORF_63:0-2598	-	-	14.933	13.9221	15.944	OK
ORF_64	-	-	ORF_64	-	-	refORF_64:0-495	-	-	51.8863	46.7361	57.0364	OK
ORF_65	-	-	ORF_65	-	-	refORF_65:0-2373	-	-	9.41781	8.57486	10.2608	OK
ORF_66	-	-	ORF_66	-	-	refORF_66:0-1722	-	-	45.0014	42.819	47.1837	OK
ORF_67	-	-	ORF_67	-	-	refORF_67:0-1137	-	-	70.9648	67.4899	74.4398	OK
ORF_68	-	-	ORF_68	-	-	refORF_68:0-510	-	-	36.1287	31.8891	40.3683	OK
ORF_69	-	-	ORF_69	-	-	refORF_69:0-2355	-	-	2.03745	1.64714	2.42775	OK
ORF_70	-	-	ORF_70	-	-	refORF_70:0-735	-	-	172.916	165.815	180.017	OK
ORF_71	-	-	ORF_71	-	-	refORF_71:0-1227	-	-	2.94583	2.26601	3.62565	OK
ORF_72	-	-	ORF_72	-	-	refORF_72:0-1773	-	-	38.5648	36.5781	40.5515	OK
ORF_73	-	-	ORF_73	-	-	refORF_73:0-714	-	-	136.646	130.212	143.081	OK
ORF_74	-	-	ORF_74	-	-	refORF_74:0-1251	-	-	17.1666	15.5398	18.7933	OK
ORF_75	-	-	ORF_75	-	-	refORF_75:0-1950	-	-	0.0918418	0	0.183728	OK
ORF_76	-	-	ORF_76	-	-	refORF_76:0-651	-	-	528.875	515.267	542.482	OK
ORF_77	-	-	ORF_77	-	-	refORF_77:0-2088	-	-	37.2375	35.4562	39.0188	OK
ORF_78	-	-	ORF_78	-	-	refORF_78:0-1857	-	-	1.13886	0.805586	1.47213	OK
ORF_79	-	-	ORF_79	-	-	refORF_79:0-3255	-	-	32.355	31.0466	33.6634	OK
ORF_80	-	-	ORF_80	-	-	refORF_80:0-273	-	-	1590.68	1539.69	1641.66	OK
ORF_81	-	-	ORF_81	-	-	refORF_81:0-2226	-	-	22.4515	21.1091	23.7939	OK
ORF_82	-	-	ORF_82	-	-	refORF_82:0-402	-	-	29.9286	25.2725	34.5846	OK
ORF_83	-	-	ORF_83	-	-	refORF_83:0-336	-	-	38.0287	31.8186	44.2387	OK
