tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	10.786	9.81149	11.7605	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	5.22928	4.26649	6.19207	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	69.3457	66.1888	72.5027	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	56.2852	53.2974	59.2729	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	4.92989	3.20468	6.65511	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	3.22183	2.58641	3.85726	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	34.0868	31.6362	36.5375	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	787.727	775.694	799.761	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	15.5232	13.9651	17.0814	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	785.872	765.704	806.041	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	1.98293	1.6416	2.32425	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	91.0315	82.3515	99.7116	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	4.37775	3.39332	5.36217	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	45.0253	37.3597	52.6909	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	101.86	98.6759	105.044	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	48.9679	46.4652	51.4706	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	61.0302	56.7289	65.3316	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	10.2375	9.7301	10.7449	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	10.4593	8.86304	12.0555	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	28.1431	25.8552	30.431	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	891.63	862.341	920.918	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	13.5116	12.1062	14.917	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	175.518	170.25	180.786	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	2.03271	1.70296	2.36246	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	0.42693	0.104201	0.749659	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	575.332	559.169	591.496	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	22.1817	20.354	24.0093	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	40.8017	38.6956	42.9078	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	6.40398	5.62583	7.18214	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	18.4569	16.9283	19.9856	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	17.5722	14.9517	20.1928	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	13.6277	12.6886	14.5669	OK
ORF_33	-	-	ORF_33	-	-	refORF_33:0-558	-	-	24.7266	21.4671	27.9861	OK
ORF_34	-	-	ORF_34	-	-	refORF_34:0-1860	-	-	9.72176	8.76268	10.6808	OK
ORF_35	-	-	ORF_35	-	-	refORF_35:0-879	-	-	210.126	203.228	217.024	OK
ORF_36	-	-	ORF_36	-	-	refORF_36:0-2667	-	-	14.8927	13.9068	15.8785	OK
ORF_37	-	-	ORF_37	-	-	refORF_37:0-1959	-	-	17.4267	16.1726	18.6807	OK
ORF_38	-	-	ORF_38	-	-	refORF_38:0-2619	-	-	127.793	124.859	130.727	OK
ORF_39	-	-	ORF_39	-	-	refORF_39:0-858	-	-	23.4423	21.1039	25.7807	OK
ORF_40	-	-	ORF_40	-	-	refORF_40:0-1107	-	-	3.93283	3.10802	4.75765	OK
ORF_41	-	-	ORF_41	-	-	refORF_41:0-498	-	-	17.362	14.4377	20.2862	OK
ORF_42	-	-	ORF_42	-	-	refORF_42:0-720	-	-	17.2417	14.9591	19.5243	OK
ORF_43	-	-	ORF_43	-	-	refORF_43:0-1329	-	-	216.54	211.02	222.059	OK
ORF_44	-	-	ORF_44	-	-	refORF_44:0-2283	-	-	17.5667	16.4025	18.7309	OK
ORF_45	-	-	ORF_45	-	-	refORF_45:0-1086	-	-	3.41115	2.62878	4.19353	OK
ORF_46	-	-	ORF_46	-	-	refORF_46:0-438	-	-	5.7412	3.86985	7.61254	OK
ORF_47	-	-	ORF_47	-	-	refORF_47:0-1065	-	-	11.5938	10.1351	13.0524	OK
ORF_48	-	-	ORF_48	-	-	refORF_48:0-2748	-	-	7.45213	6.76821	8.13606	OK
ORF_49	-	-	ORF_49	-	-	refORF_49:0-408	-	-	110.06	101.336	118.784	OK
ORF_50	-	-	ORF_50	-	-	refORF_50:0-6915	-	-	10.1453	9.65442	10.6362	OK
ORF_51	-	-	ORF_51	-	-	refORF_51:0-2136	-	-	37.2375	35.4975	38.9775	OK
ORF_52	-	-	ORF_52	-	-	refORF_52:0-366	-	-	20.1034	16.0042	24.2026	OK
ORF_53	-	-	ORF_53	-	-	refORF_53:0-1239	-	-	469.759	461.234	478.283	OK
ORF_54	-	-	ORF_54	-	-	refORF_54:0-2415	-	-	0.533861	0.338922	0.728799	OK
