tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_1	-	-	ORF_1	-	-	refORF_1:0-2019	-	-	26.9592	25.0739	28.8444	OK
ORF_2	-	-	ORF_2	-	-	refORF_2:0-1074	-	-	8.50986	7.00552	10.0142	OK
ORF_3	-	-	ORF_3	-	-	refORF_3:0-1284	-	-	109.614	104.754	114.473	OK
ORF_4	-	-	ORF_4	-	-	refORF_4:0-1188	-	-	100.505	95.6269	105.384	OK
ORF_5	-	-	ORF_5	-	-	refORF_5:0-441	-	-	15.8324	11.9908	19.6741	OK
ORF_6	-	-	ORF_6	-	-	refORF_6:0-1449	-	-	12.4215	10.882	13.9611	OK
ORF_7	-	-	ORF_7	-	-	refORF_7:0-1089	-	-	249.067	240.991	257.143	OK
ORF_8	-	-	ORF_8	-	-	refORF_8:0-1071	-	-	486.157	474.58	497.735	OK
ORF_9	-	-	ORF_9	-	-	refORF_9:0-1194	-	-	23.5708	21.2196	25.922	OK
ORF_10	-	-	ORF_10	-	-	refORF_10:0-489	-	-	1202.56	1171.89	1233.23	OK
ORF_11	-	-	ORF_11	-	-	refORF_11:0-2889	-	-	4.30795	3.68387	4.93203	OK
ORF_12	-	-	ORF_12	-	-	refORF_12:0-369	-	-	168.301	153.718	182.885	OK
ORF_13	-	-	ORF_13	-	-	refORF_13:0-912	-	-	4.13861	2.97165	5.30556	OK
ORF_14	-	-	ORF_14	-	-	refORF_14:0-294	-	-	209.705	189.191	230.219	OK
ORF_15	-	-	ORF_15	-	-	refORF_15:0-1791	-	-	183.838	178.612	189.064	OK
ORF_16	-	-	ORF_16	-	-	refORF_16:0-1425	-	-	211.741	205.355	218.127	OK
ORF_17	-	-	ORF_17	-	-	refORF_17:0-708	-	-	158.992	150.5	167.483	OK
ORF_18	-	-	ORF_18	-	-	refORF_18:0-6531	-	-	17.0058	16.207	17.8046	OK
ORF_19	-	-	ORF_19	-	-	refORF_19:0-849	-	-	23.4337	20.5158	26.3516	OK
ORF_20	-	-	ORF_20	-	-	refORF_20:0-1047	-	-	62.6529	58.4635	66.8424	OK
ORF_21	-	-	ORF_21	-	-	refORF_21:0-339	-	-	642.992	612.24	673.745	OK
ORF_22	-	-	ORF_22	-	-	refORF_22:0-1275	-	-	29.108	26.5718	31.6442	OK
ORF_23	-	-	ORF_23	-	-	refORF_23:0-1197	-	-	203.972	197.065	210.878	OK
ORF_24	-	-	ORF_24	-	-	refORF_24:0-3156	-	-	10.1445	9.23678	11.0523	OK
ORF_25	-	-	ORF_25	-	-	refORF_25:0-828	-	-	1.55771	0.80211	2.31331	OK
ORF_26	-	-	ORF_26	-	-	refORF_26:0-528	-	-	616.029	595.555	636.503	OK
ORF_27	-	-	ORF_27	-	-	refORF_27:0-1260	-	-	39.8073	36.8335	42.7812	OK
ORF_28	-	-	ORF_28	-	-	refORF_28:0-1647	-	-	79.1276	75.5447	82.7104	OK
ORF_29	-	-	ORF_29	-	-	refORF_29:0-1899	-	-	12.7402	11.4022	14.0781	OK
ORF_30	-	-	ORF_30	-	-	refORF_30:0-1464	-	-	14.871	13.1985	16.5435	OK
ORF_31	-	-	ORF_31	-	-	refORF_31:0-594	-	-	33.7775	29.3057	38.2492	OK
ORF_32	-	-	ORF_32	-	-	refORF_32:0-2676	-	-	20.1559	18.7571	21.5547	OK
