tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_2021	-	-	ORF_2021	-	-	refORF_2021:0-1836	-	-	5.31974	4.45391	6.18557	OK
ORF_2022	-	-	ORF_2022	-	-	refORF_2022:0-1635	-	-	36.6914	34.2389	39.1438	OK
ORF_2023	-	-	ORF_2023	-	-	refORF_2023:0-1620	-	-	41.8549	39.2271	44.4827	OK
ORF_2024	-	-	ORF_2024	-	-	refORF_2024:0-429	-	-	122.823	111.998	133.648	OK
ORF_2025	-	-	ORF_2025	-	-	refORF_2025:0-258	-	-	655.789	612.35	699.229	OK
ORF_2026	-	-	ORF_2026	-	-	refORF_2026:0-1128	-	-	100.598	95.6188	105.578	OK
ORF_2027	-	-	ORF_2027	-	-	refORF_2027:0-735	-	-	79.0278	73.2336	84.8221	OK
ORF_2028	-	-	ORF_2028	-	-	refORF_2028:0-318	-	-	295.583	273.162	318.003	OK
ORF_2029	-	-	ORF_2029	-	-	refORF_2029:0-474	-	-	3040.24	2990.35	3090.12	OK
ORF_2030	-	-	ORF_2030	-	-	refORF_2030:0-1101	-	-	15.5262	13.5007	17.5517	OK
ORF_2031	-	-	ORF_2031	-	-	refORF_2031:0-1521	-	-	81.7573	77.9851	85.5294	OK
ORF_2032	-	-	ORF_2032	-	-	refORF_2032:0-1581	-	-	789.158	777.521	800.796	OK
ORF_2033	-	-	ORF_2033	-	-	refORF_2033:0-810	-	-	99.5439	93.4588	105.629	OK
ORF_2034	-	-	ORF_2034	-	-	refORF_2034:0-885	-	-	131.093	124.491	137.694	OK
ORF_2035	-	-	ORF_2035	-	-	refORF_2035:0-1269	-	-	54.7668	51.32	58.2136	OK
ORF_2036	-	-	ORF_2036	-	-	refORF_2036:0-1377	-	-	28.8108	26.411	31.2106	OK
ORF_2037	-	-	ORF_2037	-	-	refORF_2037:0-336	-	-	50.7167	42.0189	59.4146	OK
ORF_2038	-	-	ORF_2038	-	-	refORF_2038:0-4875	-	-	600.215	594.71	605.719	OK
ORF_2039	-	-	ORF_2039	-	-	refORF_2039:0-2682	-	-	16.4594	15.2123	17.7064	OK
ORF_2040	-	-	ORF_2040	-	-	refORF_2040:0-789	-	-	105.762	99.3677	112.156	OK
ORF_2041	-	-	ORF_2041	-	-	refORF_2041:0-486	-	-	332.86	316.91	348.81	OK
ORF_2042	-	-	ORF_2042	-	-	refORF_2042:0-789	-	-	41.4227	37.4116	45.4337	OK
ORF_2043	-	-	ORF_2043	-	-	refORF_2043:0-1824	-	-	45.2464	42.7093	47.7835	OK
ORF_2044	-	-	ORF_2044	-	-	refORF_2044:0-630	-	-	71.148	64.9997	77.2963	OK
ORF_2045	-	-	ORF_2045	-	-	refORF_2045:0-1269	-	-	16.4515	14.5623	18.3407	OK
ORF_2046	-	-	ORF_2046	-	-	refORF_2046:0-3546	-	-	20.3255	19.1359	21.515	OK
ORF_2047	-	-	ORF_2047	-	-	refORF_2047:0-498	-	-	501.008	481.813	520.203	OK
ORF_2048	-	-	ORF_2048	-	-	refORF_2048:0-429	-	-	306.236	289.175	323.296	OK
ORF_2049	-	-	ORF_2049	-	-	refORF_2049:0-1320	-	-	94.5455	90.1456	98.9453	OK
ORF_2050	-	-	ORF_2050	-	-	refORF_2050:0-807	-	-	140.253	133.011	147.494	OK
ORF_2051	-	-	ORF_2051	-	-	refORF_2051:0-1242	-	-	31.2674	28.6103	33.9244	OK
ORF_2052	-	-	ORF_2052	-	-	refORF_2052:0-789	-	-	251.029	241.216	260.843	OK
ORF_2053	-	-	ORF_2053	-	-	refORF_2053:0-654	-	-	29.8255	25.9131	33.738	OK
ORF_2054	-	-	ORF_2054	-	-	refORF_2054:0-1197	-	-	32.0782	29.3269	34.8296	OK
ORF_2055	-	-	ORF_2055	-	-	refORF_2055:0-1236	-	-	69.1904	65.2679	73.1129	OK
ORF_2056	-	-	ORF_2056	-	-	refORF_2056:0-462	-	-	10.3682	7.41623	13.3201	OK
ORF_2057	-	-	ORF_2057	-	-	refORF_2057:0-1020	-	-	123.274	117.421	129.128	OK
ORF_2058	-	-	ORF_2058	-	-	refORF_2058:0-480	-	-	571.662	550.551	592.773	OK
ORF_2059	-	-	ORF_2059	-	-	refORF_2059:0-549	-	-	137.33	127.914	146.746	OK
ORF_2060	-	-	ORF_2060	-	-	refORF_2060:0-624	-	-	25.1337	21.4416	28.8258	OK
ORF_2061	-	-	ORF_2061	-	-	refORF_2061:0-855	-	-	27.5064	24.4138	30.599	OK
ORF_2062	-	-	ORF_2062	-	-	refORF_2062:0-672	-	-	59.4832	54.1224	64.844	OK
ORF_2063	-	-	ORF_2063	-	-	refORF_2063:0-1269	-	-	2.94733	2.14417	3.75049	OK
ORF_2064	-	-	ORF_2064	-	-	refORF_2064:0-639	-	-	203.141	192.954	213.328	OK
ORF_2065	-	-	ORF_2065	-	-	refORF_2065:0-876	-	-	10.5695	8.6812	12.4578	OK
ORF_2066	-	-	ORF_2066	-	-	refORF_2066:0-2133	-	-	67.5661	64.7249	70.4074	OK
ORF_2067	-	-	ORF_2067	-	-	refORF_2067:0-2418	-	-	10.2434	9.21002	11.2769	OK
ORF_2068	-	-	ORF_2068	-	-	refORF_2068:0-2496	-	-	11.208	10.1392	12.2768	OK
ORF_2069	-	-	ORF_2069	-	-	refORF_2069:0-756	-	-	127.749	120.528	134.97	OK
ORF_2070	-	-	ORF_2070	-	-	refORF_2070:0-663	-	-	10.0385	7.81981	12.2571	OK
ORF_2071	-	-	ORF_2071	-	-	refORF_2071:0-1080	-	-	21.077	18.7219	23.4322	OK
ORF_2072	-	-	ORF_2072	-	-	refORF_2072:0-429	-	-	24.6585	19.8318	29.4853	OK
ORF_2073	-	-	ORF_2073	-	-	refORF_2073:0-714	-	-	93.2971	86.854	99.7402	OK
ORF_2074	-	-	ORF_2074	-	-	refORF_2074:0-753	-	-	27.824	24.4137	31.2343	OK
ORF_2075	-	-	ORF_2075	-	-	refORF_2075:0-858	-	-	284.351	274.454	294.248	OK
ORF_2076	-	-	ORF_2076	-	-	refORF_2076:0-774	-	-	1501.8	1477.16	1526.43	OK
ORF_2077	-	-	ORF_2077	-	-	refORF_2077:0-603	-	-	11.0509	8.54912	13.5527	OK
ORF_2078	-	-	ORF_2078	-	-	refORF_2078:0-543	-	-	360.687	345.445	375.928	OK
ORF_2079	-	-	ORF_2079	-	-	refORF_2079:0-1614	-	-	61.8449	58.6668	65.0231	OK
ORF_2080	-	-	ORF_2080	-	-	refORF_2080:0-1323	-	-	7.09654	5.89269	8.30038	OK
ORF_2081	-	-	ORF_2081	-	-	refORF_2081:0-903	-	-	60.2384	55.8079	64.6688	OK
ORF_2082	-	-	ORF_2082	-	-	refORF_2082:0-1161	-	-	21.0604	18.8031	23.3178	OK
ORF_2083	-	-	ORF_2083	-	-	refORF_2083:0-1662	-	-	133.657	129.07	138.245	OK
ORF_2084	-	-	ORF_2084	-	-	refORF_2084:0-495	-	-	214.937	202.254	227.62	OK
ORF_2085	-	-	ORF_2085	-	-	refORF_2085:0-1602	-	-	220.419	214.385	226.452	OK
ORF_2086	-	-	ORF_2086	-	-	refORF_2086:0-11622	-	-	2.92031	2.67316	3.16746	OK
ORF_2087	-	-	ORF_2087	-	-	refORF_2087:0-1749	-	-	6.73042	5.71462	7.74623	OK
ORF_2088	-	-	ORF_2088	-	-	refORF_2088:0-2682	-	-	9.23217	8.3043	10.16	OK
ORF_2089	-	-	ORF_2089	-	-	refORF_2089:0-1206	-	-	2319.5	2296.32	2342.68	OK
ORF_2090	-	-	ORF_2090	-	-	refORF_2090:0-858	-	-	319.314	308.825	329.803	OK
ORF_2091	-	-	ORF_2091	-	-	refORF_2091:0-2166	-	-	28.2573	26.4199	30.0948	OK
ORF_2092	-	-	ORF_2092	-	-	refORF_2092:0-1104	-	-	239.716	231.933	247.499	OK
ORF_2093	-	-	ORF_2093	-	-	refORF_2093:0-3657	-	-	20.7332	19.5531	21.9133	OK
ORF_2094	-	-	ORF_2094	-	-	refORF_2094:0-6474	-	-	3.00208	2.6663	3.33785	OK
ORF_2095	-	-	ORF_2095	-	-	refORF_2095:0-963	-	-	111.309	105.534	117.084	OK
ORF_2096	-	-	ORF_2096	-	-	refORF_2096:0-1005	-	-	77.0515	72.3653	81.7376	OK
ORF_2097	-	-	ORF_2097	-	-	refORF_2097:0-723	-	-	363.228	350.727	375.729	OK
ORF_2098	-	-	ORF_2098	-	-	refORF_2098:0-1353	-	-	42.3351	39.4091	45.2611	OK
ORF_2099	-	-	ORF_2099	-	-	refORF_2099:0-825	-	-	29.4212	26.1336	32.7088	OK
ORF_2100	-	-	ORF_2100	-	-	refORF_2100:0-1623	-	-	25.8775	23.8186	27.9364	OK
ORF_2101	-	-	ORF_2101	-	-	refORF_2101:0-1653	-	-	143.149	138.387	147.911	OK
ORF_2102	-	-	ORF_2102	-	-	refORF_2102:0-318	-	-	14.2753	9.33381	19.2168	OK
ORF_2103	-	-	ORF_2103	-	-	refORF_2103:0-981	-	-	242.534	234.125	250.942	OK
ORF_2104	-	-	ORF_2104	-	-	refORF_2104:0-210	-	-	45.6439	29.6708	61.617	OK
ORF_2105	-	-	ORF_2105	-	-	refORF_2105:0-969	-	-	58.9671	54.7693	63.1649	OK
ORF_2106	-	-	ORF_2106	-	-	refORF_2106:0-954	-	-	29.867	26.8653	32.8688	OK
ORF_2107	-	-	ORF_2107	-	-	refORF_2107:0-1971	-	-	8.40389	7.34352	9.46427	OK
ORF_2108	-	-	ORF_2108	-	-	refORF_2108:0-2505	-	-	4.64148	3.9493	5.33366	OK
ORF_2109	-	-	ORF_2109	-	-	refORF_2109:0-762	-	-	19.7672	16.9161	22.6182	OK
ORF_2110	-	-	ORF_2110	-	-	refORF_2110:0-435	-	-	282.296	266.181	298.412	OK
ORF_2111	-	-	ORF_2111	-	-	refORF_2111:0-666	-	-	678.394	660.241	696.548	OK
